Coordinate X,Coordinate Y,ID,Depth (cm),pH H2O,pH K2O,P (mg/dm3),K (mg/dm3),Na (mg/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),Al (cmolc/dm3),H+Al(cmolc/dm3),Fe (mg/dm3),Zn (mg/dm3),Mn (mg/dm3),Cu (mg/dm3)
807946.1,9640336.8,1,20,4.6,3.98,32,23,4,0.91,0.25,0.91,6.7,65,0.93,6.54,0.3
807960.2,9640321,6,20,4.88,4.07,35,18,2,2.26,0.25,0.46,6.15,30,6.06,36.4,0.47
807986.8,9640272.5,11,20,5.32,4.43,48,11,1,2.11,0.29,0.16,4.88,33,2.71,16.15,0.34
807956.8,9640230.2,16,20,5.12,4.24,54,18,1,1.27,0.37,0.33,4.83,66,3.73,32.44,0.61
807927.4,9640186.8,21,20,5.03,4.13,97,13,1,0.87,0.23,0.9,6.35,41,3.93,17.94,0.98
807953.4,9640172.5,26,20,5.49,4.52,86,12,1,2.04,0.48,0.31,2.74,35,6.65,30.11,1.18
807901.9,9640201.6,31,20,4.89,4.08,98,30,3,1.58,0.49,0.5,8.51,40,4.11,20.83,0.51
807898.9,9640145.4,36,20,5.89,4.96,85,28,2,3.32,1.13,0,3.22,38,6.19,44.72,1.52
807840.7,9640153.4,41,20,4.86,4.02,88,25,4,2.04,0.25,0.78,3.75,36,9.76,54.24,1.41
807873.5,9640106.8,46,20,5.05,4.24,115,25,2,3.2,0.74,0.2,3.56,40,9.53,105.9,1.65
807859.7,9640087.6,51,20,5.89,5.15,420,33,7,6.26,1.04,0,3.2,23,22.16,104.99,1.37
807969,9640158.7,56,20,5.51,4.46,106,15,2,2.32,0.54,0,4.87,36,6.7,35.77,1.26
807998,9640199.8,61,20,5.23,4.4,44,19,1,1.18,0.59,0.22,3.04,136,1.68,17.96,0.29
807939.9,9640116.3,66,20,5.43,4.46,39,45,2,2.48,0.87,0.14,3.2,50,8.39,51.03,1.72
807909.3,9640072.3,71,20,5.24,4.45,136,33,2,3.06,0.84,0.13,4.93,37,8.99,38.65,0.88
807902.4,9640061.5,76,20,5.73,5.01,109,34,4,6.16,1.06,0,2.24,15,11.58,114,0.65
807952,9640047.1,81,20,5.75,4.94,409,31,8,5.27,0.81,0,4.29,29,22.52,79.89,1.06
807941,9640028.3,86,20,5.21,4.34,119,21,2,3.14,0.38,0.12,4.16,25,6.61,38.14,0.89
807985.7,9640011.1,91,20,5.37,4.74,161,56,3,4.58,1.06,0.08,3.38,37,12.41,111.11,1.17
807974.5,9639989.4,96,20,5.51,4.66,131,44,3,3.73,0.7,0,4.57,46,6.16,70.13,1.04
807975.3,9640084,101,20,5.48,4.66,288,26,4,4.2,1.55,0.03,5.15,30,12.39,51.33,1.47
808007.3,9640127.1,106,20,5.23,4.18,59,10,1,1.14,0.33,0.48,4.6,36,2.75,14.88,0.42
