Element,F_soil_type,p_soil_type,F_depth,p_depth,F_interaction,p_interaction,sig_soil_type,sig_depth
Cs,678.3017353418015,8.793979848487543e-77,5.173282404221026,1.6722201163568643e-6,5.397953810123544,7.949948792073739e-7,***,***
Rb,630.2190507485807,1.1989866661605128e-73,4.3303298433902855,2.699309651626152e-5,4.257104361473235,3.432777657517042e-5,***,***
Cu,605.5185885818072,5.678687801546851e-72,3.822927230031679,1.4174127607866912e-4,4.384354295226517,2.260246486803814e-5,***,***
P,592.1944318237219,4.759744469068825e-71,1.6892820652694316,0.09124452801183804,1.5505914594600374,0.13008059348884593,***,ns
Tl,474.63796215656447,3.1366864010403117e-62,4.317853533306072,2.8122129051611112e-5,4.9106819250583005,3.98522904311676e-6,***,***
Ba,467.3362364383543,1.2270927272703836e-61,2.2804070155367513,0.01759631867104979,3.420337002639983,5.198243425502998e-4,***,*
Zn,407.36313152291086,1.5366499593077872e-56,2.506040566382583,0.00900498370126928,3.0330532966929202,0.0017770038652070532,***,**
Mn,385.87197946850534,1.3266531403552234e-54,12.912297425242441,3.344837852610926e-17,9.123308558773418,4.133574034334929e-12,***,***
Mg,358.1453409547921,5.195024108970865e-52,4.7629352090392265,6.492422089126505e-6,4.185488013573747,4.341276647397795e-5,***,***
Sr,331.35271182403267,2.1426363296921375e-49,2.1443966937258585,0.026102843842395192,0.38455420568078835,0.9420626014604567,***,*
Cd,322.0187022228976,1.8588119507948922e-48,3.2404628999806033,9.228122780903673e-4,3.073944695105487,0.0015626116330221622,***,***
K,299.39482658635586,4.032629934785384e-46,2.158484903283257,0.025067324090469714,2.2103364634193747,0.021581384338621813,***,*
Li,273.92748994750946,2.2286272331698437e-43,1.2769044486292218,0.24913018233904677,0.7094045524349859,0.7001910682336605,***,ns
Co,228.06086983715645,4.206827638430368e-38,3.180592825854701,0.001115818081724286,2.896092674982763,0.002726745408792428,***,**
Se,220.2466790308729,3.719706328693335e-37,3.913592271991585,1.0553816703419006e-4,2.126392584839512,0.02748510775893043,***,***
Ca,217.81216809037534,7.386868798733024e-37,2.6380120269447667,0.006038717401728264,2.185182808040087,0.02321071409724103,***,**
Ni,162.43819434955225,1.1904160337927152e-29,0.856187318108858,0.5650424770932869,2.421674180438423,0.011592509083816033,***,ns
Be,128.4005514753634,9.461856005019499e-25,3.1126699031840204,0.0013830751497060836,0.7822146812168546,0.6330237015914955,***,**
Ti,99.96041972434341,2.5262141360510756e-20,11.277325363470108,4.797904369925477e-15,1.2583158087982163,0.25963725903661006,***,***
Al,27.450995840286964,3.173805630613409e-7,42.91897442865455,8.713826084635105e-48,1.4487070525383172,0.16708732563898318,***,***
Mo,6.9015366730278,0.009086660503271123,37.07566182632246,6.967921792377977e-43,2.379292290728457,0.013148793136458134,**,***
Pb,3.970227352106002,0.047282211485377035,4.984193789904057,3.125497435937631e-6,0.41534668616267184,0.9265105618326823,*,***
Ag,1.316745121185391,0.252156545037645,0.8121327635261872,0.6053837574182339,0.49022645847445256,0.8807444814041144,ns,ns
Cr,1.1639881917734192,0.2815684720202588,22.210273930674322,2.488687132967583e-28,0.8446853818909736,0.5755160347429328,ns,***
V,1.0924927496523242,0.2968210529365057,28.22498734043368,1.2475850806257351e-34,1.9226015046390585,0.048747998916034166,ns,***
Fe,0.49564637117006394,0.482004417491111,51.55359724188635,2.1987158487299876e-54,2.522157046019349,0.008578544096664304,ns,***
U,0.4706031611884501,0.49327744590249734,2.2731114373491343,0.017975993121175433,0.42656202139452887,0.9203559335662284,ns,*
As,0.06436747649375338,0.7999077623378876,17.87238666723982,2.2782574410322044e-23,1.7997766417316525,0.0681014456103616,ns,***
