Sample code,Depth (cm),Soil type,Mg,P,K,Ca,Ti,Li,Be,Al,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Cd,Cs,Ba,Tl,Pb,U
,,,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg)
A1.1,10,ADE,510.4922733,2018.905633,594.6792,3032.604545,1202.960562,3.979464302,0.282164368,35684.86228,65.68224666,35.30258331,460.5138112,28565.95427,1.30778392,5.297052891,14.96294393,69.76522589,5.7346225,1.081249213,6.949057336,41.63027172,1.095637281,0.130257665,1.365656925,0.796941691,125.109235,0.116723026,8.472733753,1.814081538
A1.2,20,ADE,534.9382597,2370.502266,709.001019,2975.181374,1347.406702,4.542636673,0.33331921,41518.47905,71.97148789,38.88185066,486.6294084,31875.71612,1.44801816,9.896631021,19.04070974,82.60165565,6.159512312,1.073209738,8.191022876,45.00440374,1.06601113,0.129621171,1.67220213,0.959262051,150.9962864,0.128936654,9.182838852,1.92341054
A1.3,30,ADE,528.1293599,3018.983191,780.9193627,4027.391727,1048.768749,5.088602396,0.343972062,45071.18155,80.33312759,42.08837257,443.4803011,35107.67137,1.402907587,7.243460476,21.22463324,93.05562547,6.27419874,0.930474899,8.229086096,55.28762088,1.043000512,0.117305107,2.010435676,0.889621558,178.8601324,0.131281904,9.928182847,1.84684921
A1.4,40,ADE,525.7222774,3153.514304,725.7168547,3803.833723,1201.28347,4.91476745,0.337661462,50985.20192,87.03761027,44.72237367,409.9929763,38231.68954,1.32438612,8.721392647,20.13543269,86.32971435,7.422358182,0.988334188,7.606065553,54.92161484,2.320134717,0.123777175,1.698875773,0.88966253,149.4745821,0.114918884,10.38685988,1.7547987
A1.5,50,ADE,413.2105085,2891.469205,670.2453746,2744.90331,1467.875212,4.637707372,0.321804109,53629.11802,98.5258085,48.91185602,314.3075017,41740.69245,1.25383241,6.091007981,16.30841279,68.14155587,9.196952452,1.116903337,6.512236004,51.49435515,1.420928724,0.129094661,1.339332062,0.763548001,126.5036372,0.099627805,11.51804913,2.057746405
A1.6,60,ADE,415.2197393,3673.353784,615.2658891,3034.287754,881.673768,4.087623979,0.303877605,55299.44019,95.12736106,48.62028577,283.4519285,41598.56028,1.107826062,8.241259583,15.20383354,62.18558403,6.673231257,0.826719269,6.404751526,68.61524303,1.222035154,0.106185807,1.098873305,0.678380898,164.9613476,0.090709889,10.37398208,1.87693477
A1.7,70,ADE,395.7707478,2660.360102,577.6140036,2683.56154,1378.149779,3.955844187,0.302930921,59454.07474,103.1377396,50.57178635,279.6810627,44031.36646,1.143403976,9.547841336,14.76494411,57.2800795,9.93524551,1.118947286,6.612820823,50.68187624,1.428520276,0.114062184,0.962687571,0.721810661,110.3725509,0.084940873,10.67871842,1.934040874
A1.8,80,ADE,263.1737082,2153.525019,267.7142609,1348.532654,1541.38139,2.610621456,0.26433682,71151.65173,125.4022719,59.23527238,156.9042123,52206.92625,0.814583247,10.65367648,7.190656992,30.93975817,12.26426603,1.488696471,3.230115785,42.19491896,2.016333045,0.118948048,0.441656144,0.346995802,70.07819275,0.043209464,12.13461957,2.320953232
A1.9,90,ADE,236.4303888,2339.254221,351.1651528,1401.701052,1552.073767,2.632935293,0.284379507,71419.95098,126.7568234,61.34122302,171.4413068,53031.83891,1.210015436,4.260407257,8.513913543,32.04054704,12.41931863,1.451396807,3.563581658,47.02436668,1.966995401,0.119566877,0.5284395,0.385603542,88.16247948,0.052182773,13.29752895,2.125725953
A1.10,100,ADE,176.8462558,1772.870796,153.7852594,650.2000052,1598.19687,1.836788855,0.248609149,74942.32508,134.7247567,63.49858549,112.9393312,55794.96892,0.705051018,4.4052122,3.856599829,16.03030669,13.39020349,1.482679549,1.684411433,36.99999933,1.809547304,0.106806976,0.196226194,0.170004958,54.69789004,0.033087847,12.46863739,2.135285629
A2.1,10,ADE,776.5331559,1826.678914,627.71392,4572.132272,1264.392711,3.51772984,0.253624743,32294.27404,63.21828932,36.65731035,465.4591229,28059.2334,1.326026882,6.31551993,14.76779866,65.75474208,5.710497245,1.008523117,8.654979788,46.66587508,0.887468263,0.096718062,1.167423052,0.731355705,149.4450325,0.135749477,7.227169604,1.64935641
A2.2,20,ADE,750.8190949,2036.501338,782.8155358,3524.360332,1427.536064,4.339628624,0.310245056,39183.99247,74.48114558,39.16093484,532.5034807,32566.7089,1.59877781,5.740610426,16.38255667,75.91812194,6.66408022,1.162761138,9.408742722,45.98242255,1.207260076,0.110703182,1.345819085,0.858530291,158.61006,0.144869711,8.505643431,2.049897102
A2.3,30,ADE,722.8105137,2777.046348,925.1951091,3535.877287,1439.013739,4.99153114,0.358986563,47514.63269,85.56985044,45.19899058,525.295987,37915.94378,1.703107253,15.55884327,20.88049599,87.99834663,7.604955343,1.011214222,10.66330107,51.68366408,1.108849939,0.107116531,1.756372474,0.953946791,181.2109765,0.146350054,9.565600637,1.949598002
A2.4,40,ADE,660.0632526,2775.332672,937.1239536,3588.373787,1478.716148,5.519023725,0.383277264,57784.26488,100.9414005,51.51481503,460.6937705,43889.24991,1.669055712,8.970303645,22.44880367,91.90203063,9.328460878,1.076728176,10.50095477,54.09543421,1.31993653,0.123240103,1.796739214,0.968112093,160.9630945,0.137604672,10.80271213,2.022802003
A2.5,50,ADE,685.2821621,3370.366964,1198.705217,3958.345659,1489.929523,6.12360777,0.411680451,55635.48564,100.4245381,51.50737335,490.7612753,43704.06034,1.878799346,9.996634823,24.22893519,104.12629,9.15903437,1.006066199,11.94345036,57.95005655,1.269590671,0.11095552,2.030342371,1.009635261,185.3162043,0.154961788,11.05438388,1.935143023
A2.6,60,ADE,603.9718107,3691.88764,1110.224083,4619.186291,1384.223272,6.270612139,0.416572162,59474.58284,103.6490819,52.29690959,501.8593666,45065.57076,1.827486454,9.529785393,26.25661772,109.3372232,9.215022576,1.0254535,11.81224783,63.20747536,1.291607154,0.123713624,2.180560679,1.008076494,183.2973327,0.153444766,11.34081576,1.874500245
A2.7,70,ADE,559.3242041,2932.50519,911.3587048,3478.935377,1508.234728,5.440945785,0.365511387,57836.17153,107.2934366,53.71689933,414.4748487,45695.08836,1.573006271,8.383220996,20.80646466,89.80852008,10.5294082,1.103841046,9.884702099,55.77095462,1.838739736,0.120624846,1.782210277,0.839136319,148.8830727,0.131236067,11.10686956,2.05881968
A2.8,80,ADE,493.4361383,2887.937976,981.4287556,3060.232791,1653.123935,5.469124628,0.377294422,64981.90219,116.4096133,57.37416427,382.6155024,49466.83309,1.598125685,8.20199221,19.11023395,80.35474607,11.25184881,1.144684873,10.27727627,54.21310333,1.605750852,0.115402078,1.874367675,0.865093344,142.7314756,0.123141045,12.05675252,2.139129823
A2.9,90,ADE,426.1835934,4764.615875,957.5113236,5649.078406,1520.687246,5.736297912,0.412547603,65064.65646,127.3560489,62.72404063,296.594174,51752.9834,1.49044903,7.088537463,16.08609163,78.24123249,10.9740245,1.207998569,7.899813448,56.46256697,2.110969591,0.115451164,2.392445336,0.619864124,143.0855316,0.115812653,12.80935049,2.157660849
A2.10,100,ADE,279.2023523,2391.304296,486.8939322,1707.687244,1671.214189,3.230470313,0.292109084,74215.14411,136.7061089,65.0903406,146.1685499,56165.77356,0.926210754,4.557453211,7.207128744,33.63770719,13.85759673,1.417482093,4.638405477,43.88245884,1.828946104,0.112225596,0.603667914,0.374427895,86.4635544,0.058627311,12.70648946,2.212261277
